Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
9/9/21,Meat/Fish,5,5,1,90.00,18.00,100,90.00
9/9/21,Service Fees,12,0,0,1.12,0.09,0,0.00
9/9/21,Snacks,4,9,2.3,10.50,2.62,100,10.50
9/10/21,Cleaning&body,1,3,3,15.00,15.00,100,15.00
9/10/21,Drinks,4,7,1.8,74.00,18.50,100,74.00
9/10/21,General Food,15,172,11.5,1542.90,102.86,100,1542.90
9/10/21,Meat/Fish,2,2,1,40.00,20.00,100,40.00
9/10/21,Pinless Recharge,1,1,1,20.00,20.00,0,0.00
9/10/21,Service Fees,20,0,0,6.77,0.33,0,0.00
9/10/21,Snacks,9,14,1.6,13.75,1.52,100,13.75
9/11/21,Drinks,4,9,2.3,46.75,11.68,100,46.75
9/11/21,General Food,10,50,5,1011.25,101.12,100,1011.25
9/11/21,Meat/Fish,4,9,2.3,180.00,45.00,100,180.00
9/11/21,Service Fees,12,0,0,4.24,0.35,0,0.00
9/11/21,Snacks,1,2,2,1.00,1.00,100,1.00
9/12/21,General Food,11,45,4.1,773.50,70.31,100,773.50
9/12/21,Service Fees,11,0,0,13.96,1.26,0,0.00
9/13/21,Drinks,2,2,1,2.00,1.00,100,2.00
9/13/21,General Food,3,81,27,1024.96,341.65,100,1024.96
9/13/21,Meat/Fish,5,12,2.4,180.00,36.00,100,180.00
9/13/21,Service Fees,10,0,0,4.80,0.48,0,0.00
9/13/21,Snacks,1,1,1,2.00,2.00,100,2.00
9/14/21,Drinks,2,2,1,2.50,1.25,100,2.50
9/14/21,General Food,1,5,5,42.50,42.50,100,42.50
9/14/21,Service Fees,2,0,0,0.04,0.02,0,0.00
9/15/21,Cleaning&body,1,1,1,18.00,18.00,100,18.00
9/15/21,Drinks,2,4,2,4.00,2.00,100,4.00
9/15/21,General Food,7,88,12.6,874.69,124.95,100,874.69
9/15/21,Meat/Fish,1,1,1,10.00,10.00,100,10.00
9/15/21,Service Fees,7,0,0,0.00,0.00,0,0.00
9/15/21,Snacks,3,6,2,11.00,3.66,100,11.00
9/16/21,Drinks,1,4,4,39.00,39.00,100,39.00
9/16/21,General Food,4,32,8,382.24,95.56,100,382.24
9/16/21,Service Fees,4,0,0,0.00,0.00,0,0.00
9/16/21,Snacks,1,3,3,3.00,3.00,100,3.00
9/17/21,Cleaning&body,1,1,1,5.00,5.00,100,5.00
9/17/21,Drinks,1,1,1,9.00,9.00,100,9.00
9/17/21,General Food,1,12,12,77.90,77.90,100,77.90
9/17/21,Service Fees,1,0,0,0.00,0.00,0,0.00
9/17/21,Snacks,1,1,1,0.25,0.25,100,0.25
9/18/21,Cleaning&body,1,1,1,1.25,1.25,100,1.25
9/18/21,Condiments,1,4,4,6.00,6.00,100,6.00
9/18/21,Drinks,2,2,1,49.00,24.50,100,49.00
9/18/21,General Food,12,88,7.3,950.76,79.23,100,950.76
9/18/21,Meat/Fish,3,4,1.3,40.00,13.33,100,40.00
9/18/21,Service Fees,14,0,0,6.64,0.47,0,0.00
9/18/21,Snacks,5,54,10.8,14.20,2.84,100,14.20
9/19/21,General Food,4,33,8.3,174.15,43.53,100,174.15
9/19/21,Meat/Fish,1,1,1,20.00,20.00,100,20.00
9/19/21,Service Fees,4,0,0,1.04,0.26,0,0.00
9/19/21,Snacks,1,1,1,1.00,1.00,100,1.00
9/20/21,Drinks,1,1,1,30.00,30.00,100,30.00
9/20/21,General Food,4,28,7,306.22,76.55,100,306.22
9/20/21,Service Fees,5,0,0,0.00,0.00,0,0.00
9/20/21,Snacks,1,1,1,1.50,1.50,100,1.50
9/21/21,General Food,5,25,5,204.25,40.85,100,204.25
9/21/21,Service Fees,5,0,0,0.00,0.00,0,0.00
9/21/21,Snacks,1,1,1,0.50,0.50,100,0.50
9/22/21,Cleaning&body,1,4,4,36.00,36.00,100,36.00
9/22/21,Drinks,2,3,1.5,73.00,36.50,100,73.00
9/22/21,General Food,7,70,10,1035.49,147.92,100,1035.49
9/22/21,Meat/Fish,1,1,1,20.00,20.00,100,20.00
9/22/21,Service Fees,7,0,0,0.00,0.00,0,0.00
9/22/21,Snacks,1,1,1,0.50,0.50,100,0.50
9/23/21,Drinks,1,3,3,3.00,3.00,100,3.00
9/23/21,General Food,3,38,12.7,211.00,70.33,100,211.00
9/23/21,Service Fees,3,0,0,0.28,0.09,0,0.00
9/24/21,Cleaning&body,1,2,2,36.00,36.00,100,36.00
9/24/21,Drinks,1,2,2,69.00,69.00,100,69.00
9/24/21,General Food,4,31,7.8,608.89,152.22,100,608.89
9/24/21,Service Fees,5,0,0,9.67,1.93,0,0.00
9/24/21,Snacks,1,2,2,3.00,3.00,100,3.00
9/26/21,Cleaning&body,1,6,6,53.00,53.00,100,53.00
9/26/21,Clothes,1,1,1,25.00,25.00,100,25.00
9/26/21,Drinks,3,4,1.3,141.00,47.00,100,141.00
9/26/21,General Food,13,132,10.2,1332.09,102.46,100,1332.09
9/26/21,Meat/Fish,3,6,2,70.00,23.33,100,70.00
9/26/21,Service Fees,13,0,0,5.93,0.45,0,0.00
9/27/21,Cleaning&body,1,1,1,8.00,8.00,100,8.00
9/27/21,Drinks,3,5,1.7,40.00,13.33,100,40.00
9/27/21,General Food,9,75,8.3,798.70,88.74,100,798.70
9/27/21,Meat/Fish,1,4,4,70.00,70.00,100,70.00
9/27/21,Service Fees,9,0,0,0.96,0.10,0,0.00
9/28/21,Drinks,1,2,2,69.00,69.00,100,69.00
9/28/21,General Food,6,47,7.8,439.21,73.20,100,439.21
9/28/21,Meat/Fish,1,1,1,10.00,10.00,100,10.00
9/28/21,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
9/28/21,Service Fees,7,0,0,1.52,0.21,0,0.00
9/29/21,Drinks,5,9,1.8,147.00,29.40,100,147.00
9/29/21,General Food,10,94,9.4,1401.13,140.11,100,1401.13
9/29/21,Meat/Fish,2,4,2,70.00,35.00,100,70.00
9/29/21,Service Fees,12,0,0,0.63,0.05,0,0.00
9/29/21,Snacks,1,2,2,1.00,1.00,100,1.00
9/30/21,Drinks,1,1,1,36.00,36.00,100,36.00
9/30/21,General Food,3,28,9.3,332.70,110.90,100,332.70
9/30/21,Meat/Fish,1,1,1,10.00,10.00,100,10.00
9/30/21,Service Fees,3,0,0,2.26,0.75,0,0.00
9/30/21,Snacks,1,1,1,1.75,1.75,100,1.75
10/1/21,General Food,2,24,12,211.33,105.66,100,211.33
10/1/21,Meat/Fish,1,1,1,10.00,10.00,100,10.00
10/1/21,Service Fees,2,0,0,0.84,0.42,0,0.00
10/2/21,Condiments,1,2,2,3.00,3.00,100,3.00
10/2/21,Drinks,4,11,2.8,98.00,24.50,100,98.00
10/2/21,General Food,16,153,9.6,1623.89,101.49,100,1623.89
10/2/21,Meat/Fish,2,3,1.5,50.00,25.00,100,50.00
10/2/21,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
10/2/21,Service Fees,17,0,0,0.40,0.02,0,0.00
10/3/21,Drinks,1,1,1,2.00,2.00,100,2.00
10/3/21,General Food,7,43,6.1,485.08,69.29,100,485.08
10/3/21,Meat/Fish,1,1,1,10.00,10.00,100,10.00
10/3/21,Service Fees,8,0,0,1.32,0.16,0,0.00
10/3/21,Snacks,1,3,3,4.50,4.50,100,4.50
10/4/21,Drinks,1,1,1,33.00,33.00,100,33.00
10/4/21,General Food,7,53,7.6,1052.92,150.41,100,1052.92
10/4/21,Meat/Fish,1,4,4,70.00,70.00,100,70.00
10/4/21,Service Fees,7,0,0,5.31,0.75,0,0.00
10/4/21,Snacks,1,1,1,0.75,0.75,100,0.75
10/5/21,Drinks,4,10,2.5,45.00,11.25,100,45.00
10/5/21,General Food,6,49,8.2,686.85,114.47,100,686.85
10/5/21,Pinless Recharge,2,2,1,20.00,10.00,0,0.00
10/5/21,Service Fees,9,0,0,0.00,0.00,0,0.00
10/5/21,Snacks,1,2,2,1.00,1.00,100,1.00
10/6/21,Cleaning&body,1,2,2,10.00,10.00,100,10.00
10/6/21,Drinks,3,5,1.7,107.00,35.66,100,107.00
10/6/21,General Food,8,119,14.9,1950.86,243.85,100,1950.86
10/6/21,Meat/Fish,1,1,1,20.00,20.00,100,20.00
10/6/21,Service Fees,10,0,0,0.48,0.04,0,0.00
10/6/21,Snacks,2,2,1,1.50,0.75,100,1.50
10/7/21,Drinks,2,5,2.5,7.50,3.75,100,7.50
10/7/21,General Food,5,19,3.8,455.47,91.09,100,455.47
10/7/21,Meat/Fish,4,6,1.5,70.00,17.50,100,70.00
10/7/21,Pinless Recharge,2,2,1,12.00,6.00,0,0.00
10/7/21,Service Fees,10,0,0,3.02,0.30,0,0.00
10/8/21,Drinks,4,10,2.5,99.00,24.75,100,99.00
10/8/21,General Food,7,62,8.9,522.47,74.63,100,522.47
10/8/21,Meat/Fish,1,1,1,20.00,20.00,100,20.00
10/8/21,Service Fees,8,0,0,0.64,0.08,0,0.00
10/8/21,Snacks,2,5,2.5,2.50,1.25,100,2.50
10/9/21,Clothes,1,1,1,10.00,10.00,100,10.00
10/9/21,Drinks,4,5,1.3,40.00,10.00,100,40.00
10/9/21,General Food,14,97,6.9,560.95,40.06,100,560.95
10/9/21,Meat/Fish,1,3,3,50.00,50.00,100,50.00
10/9/21,Service Fees,14,0,0,2.37,0.16,0,0.00
10/9/21,Snacks,3,10,3.3,10.00,3.33,100,10.00
10/10/21,Condiments,1,1,1,3.00,3.00,100,3.00
10/10/21,Drinks,2,2,1,3.00,1.50,100,3.00
10/10/21,General Food,9,58,6.4,944.56,104.95,100,944.56
10/10/21,Meat/Fish,3,6,2,110.00,36.66,100,110.00
10/10/21,Service Fees,12,0,0,0.40,0.03,0,0.00
10/10/21,Snacks,3,7,2.3,7.75,2.58,100,7.75
10/11/21,Clothes,1,1,1,5.00,5.00,100,5.00
10/11/21,Drinks,1,3,3,35.00,35.00,100,35.00
10/11/21,General Food,12,163,13.6,1424.00,118.66,100,1424.00
10/11/21,Meat/Fish,2,3,1.5,60.00,30.00,100,60.00
10/11/21,Service Fees,13,0,0,2.76,0.21,0,0.00
10/11/21,Snacks,2,7,3.5,3.25,1.62,100,3.25
10/12/21,Cleaning&body,1,1,1,10.00,10.00,100,10.00
10/12/21,Drinks,1,2,2,2.00,2.00,100,2.00
10/12/21,General Food,5,60,12,425.32,85.06,100,425.32
10/12/21,Meat/Fish,5,9,1.8,170.00,34.00,100,170.00
10/12/21,Pinless Recharge,3,3,1,60.00,20.00,0,0.00
10/12/21,Service Fees,10,0,0,2.82,0.28,0,0.00
10/12/21,Snacks,1,10,10,10.25,10.25,100,10.25
10/13/21,Cleaning&body,1,2,2,18.00,18.00,100,18.00
10/13/21,Frozen,1,1,1,20.00,20.00,0,0.00
10/13/21,General Food,1,1,1,40.00,40.00,100,40.00
10/13/21,Service Fees,3,0,0,0.00,0.00,0,0.00
10/14/21,General Food,5,22,4.4,294.49,58.89,100,294.49
10/14/21,Service Fees,5,0,0,0.96,0.19,0,0.00
10/15/21,Drinks,1,2,2,3.00,3.00,100,3.00
10/15/21,General Food,6,49,8.2,207.58,34.59,100,207.58
10/15/21,Meat/Fish,2,4,2,70.00,35.00,100,70.00
10/15/21,Pinless Recharge,1,1,1,20.00,20.00,0,0.00
10/15/21,Service Fees,7,0,0,1.20,0.17,0,0.00
10/16/21,Drinks,3,5,1.7,39.00,13.00,100,39.00
10/16/21,General Food,8,68,8.5,500.47,62.55,100,500.47
10/16/21,Household,1,4,4,5.00,5.00,100,5.00
10/16/21,Meat/Fish,2,3,1.5,60.00,30.00,100,60.00
10/16/21,Service Fees,9,0,0,1.84,0.20,0,0.00
10/17/21,Drinks,3,8,2.7,107.00,35.66,100,107.00
10/17/21,General Food,15,163,10.9,1741.27,116.08,100,1741.27
10/17/21,Meat/Fish,3,5,1.7,60.00,20.00,100,60.00
10/17/21,Service Fees,16,0,0,2.02,0.12,0,0.00
10/17/21,Snacks,2,2,1,2.00,1.00,100,2.00
10/18/21,General Food,5,24,4.8,191.94,38.38,100,191.94
10/18/21,Meat/Fish,3,7,2.3,110.00,36.66,100,110.00
10/18/21,Service Fees,6,0,0,4.08,0.68,0,0.00
10/19/21,Drinks,1,2,2,69.00,69.00,100,69.00
10/19/21,General Food,9,44,4.9,658.86,73.20,100,658.86
10/19/21,Meat/Fish,1,2,2,20.00,20.00,100,20.00
10/19/21,Service Fees,9,0,0,1.45,0.16,0,0.00
10/20/21,Drinks,2,4,2,4.50,2.25,100,4.50
10/20/21,General Food,5,40,8,390.48,78.09,100,390.48
10/20/21,Meat/Fish,1,4,4,60.00,60.00,100,60.00
10/20/21,Service Fees,6,0,0,1.00,0.16,0,0.00
10/20/21,Snacks,1,12,12,6.00,6.00,100,6.00
10/21/21,General Food,3,12,4,89.49,29.83,100,89.49
10/21/21,Service Fees,4,0,0,1.60,0.40,0,0.00
10/21/21,Snacks,1,3,3,1.75,1.75,100,1.75
10/22/21,Drinks,2,4,2,4.00,2.00,100,4.00
10/22/21,General Food,10,71,7.1,860.74,86.07,100,860.74
10/22/21,Meat/Fish,6,13,2.2,220.00,36.66,100,220.00
10/22/21,Service Fees,15,0,0,4.88,0.32,0,0.00
10/22/21,Snacks,4,47,11.8,16.50,4.12,100,16.50
10/23/21,Drinks,1,1,1,1.75,1.75,100,1.75
10/23/21,General Food,17,125,7.4,1041.74,61.27,100,1041.74
10/23/21,Meat/Fish,7,20,2.9,330.00,47.14,100,330.00
10/23/21,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
10/23/21,Service Fees,21,0,0,8.12,0.38,0,0.00
10/24/21,Cleaning&body,1,10,10,50.00,50.00,100,50.00
10/24/21,Drinks,3,5,1.7,105.00,35.00,100,105.00
10/24/21,General Food,8,44,5.5,1076.85,134.60,100,1076.85
10/24/21,Meat/Fish,1,2,2,40.00,40.00,100,40.00
10/24/21,Service Fees,10,0,0,3.72,0.37,0,0.00
10/24/21,Snacks,1,1,1,0.50,0.50,100,0.50
10/25/21,Cleaning&body,1,1,1,3.00,3.00,100,3.00
10/25/21,Drinks,2,4,2,72.00,36.00,100,72.00
10/25/21,General Food,7,39,5.6,418.60,59.80,100,418.60
10/25/21,Meat/Fish,2,2,1,40.00,20.00,100,40.00
10/25/21,Service Fees,7,0,0,6.15,0.87,0,0.00
10/26/21,General Food,3,27,9,192.99,64.33,100,192.99
10/26/21,Meat/Fish,1,5,5,100.00,100.00,100,100.00
10/26/21,Service Fees,4,0,0,7.72,1.93,0,0.00
10/27/21,General Food,2,14,7,299.00,149.50,100,299.00
10/27/21,Pinless Recharge,3,3,1,45.00,15.00,0,0.00
10/27/21,Service Fees,5,0,0,0.00,0.00,0,0.00
10/28/21,General Food,8,83,10.4,613.50,76.68,100,613.50
10/28/21,Meat/Fish,3,4,1.3,80.00,26.66,100,80.00
10/28/21,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
10/28/21,Service Fees,9,0,0,3.74,0.41,0,0.00
10/29/21,Drinks,1,1,1,1.50,1.50,100,1.50
10/29/21,General Food,7,25,3.6,273.35,39.05,100,273.35
10/29/21,Meat/Fish,2,3,1.5,40.00,20.00,100,40.00
10/29/21,Pinless Recharge,2,2,1,9.00,4.50,0,0.00
10/29/21,Service Fees,10,0,0,4.00,0.40,0,0.00
10/29/21,Snacks,2,2,1,0.75,0.37,100,0.75
10/30/21,General Food,10,53,5.3,450.24,45.02,100,450.24
10/30/21,Meat/Fish,2,5,2.5,50.00,25.00,100,50.00
10/30/21,Service Fees,10,0,0,5.88,0.58,0,0.00
10/31/21,Drinks,1,2,2,3.00,3.00,100,3.00
10/31/21,General Food,4,16,4,139.00,34.75,100,139.00
10/31/21,Meat/Fish,2,3,1.5,60.00,30.00,100,60.00
10/31/21,Service Fees,5,0,0,0.48,0.09,0,0.00
10/31/21,Snacks,1,4,4,2.00,2.00,100,2.00
11/1/21,Drinks,2,3,1.5,70.50,35.25,100,70.50
11/1/21,General Food,4,27,6.8,517.73,129.43,100,517.73
11/1/21,Meat/Fish,2,8,4,160.00,80.00,100,160.00
11/1/21,Pinless Recharge,2,2,1,5.00,2.50,0,0.00
11/1/21,Service Fees,7,0,0,8.91,1.27,0,0.00
11/1/21,Snacks,2,4,2,3.50,1.75,100,3.50
11/2/21,Drinks,2,3,1.5,70.50,35.25,100,70.50
11/2/21,General Food,10,40,4,442.35,44.23,100,442.35
11/2/21,Meat/Fish,2,2,1,20.00,10.00,100,20.00
11/2/21,Pinless Recharge,1,1,1,2.00,2.00,0,0.00
11/2/21,Service Fees,11,0,0,0.96,0.08,0,0.00
11/2/21,Snacks,1,2,2,3.00,3.00,100,3.00
11/3/21,Drinks,1,2,2,2.00,2.00,100,2.00
11/3/21,General Food,6,39,6.5,958.72,159.78,100,958.72
11/3/21,Service Fees,6,0,0,1.80,0.30,0,0.00
11/3/21,Snacks,1,1,1,2.50,2.50,100,2.50
11/5/21,Drinks,1,3,3,3.00,3.00,100,3.00
11/5/21,General Food,3,30,10,437.64,145.88,100,437.64
11/5/21,Service Fees,3,0,0,9.02,3.00,0,0.00
11/6/21,Drinks,2,7,3.5,39.00,19.50,100,39.00
11/6/21,General Food,13,121,9.3,1112.30,85.56,100,1112.30
11/6/21,Household,2,2,1,47.98,23.99,100,47.98
11/6/21,Meat/Fish,3,4,1.3,70.00,23.33,100,70.00
11/6/21,Service Fees,13,0,0,7.55,0.58,0,0.00
11/6/21,Snacks,1,1,1,2.50,2.50,100,2.50
11/7/21,Drinks,1,3,3,5.25,5.25,100,5.25
11/7/21,General Food,6,37,6.2,493.53,82.25,100,493.53
11/7/21,Meat/Fish,2,2,1,30.00,15.00,100,30.00
11/7/21,Service Fees,6,0,0,0.64,0.10,0,0.00
11/7/21,Snacks,1,3,3,3.27,3.27,100,3.27
11/8/21,Drinks,6,9,1.5,82.50,13.75,100,82.50
11/8/21,General Food,9,96,10.7,935.05,103.89,100,935.05
11/8/21,Household,3,3,1,71.97,23.99,100,71.97
11/8/21,Meat/Fish,1,2,2,40.00,40.00,100,40.00
11/8/21,Service Fees,10,0,0,0.00,0.00,0,0.00
11/8/21,Snacks,3,5,1.7,10.09,3.36,100,10.09
11/9/21,Drinks,1,3,3,3.00,3.00,100,3.00
11/9/21,General Food,5,17,3.4,225.74,45.14,100,225.74
11/9/21,Meat/Fish,1,2,2,40.00,40.00,100,40.00
11/9/21,Pinless Recharge,1,1,1,20.00,20.00,0,0.00
11/9/21,Service Fees,6,0,0,2.00,0.33,0,0.00
11/10/21,Cleaning&body,1,3,3,28.00,28.00,100,28.00
11/10/21,Drinks,2,3,1.5,3.50,1.75,100,3.50
11/10/21,General Food,7,58,8.3,438.98,62.71,100,438.98
11/10/21,Meat/Fish,2,3,1.5,50.00,25.00,100,50.00
11/10/21,Pinless Recharge,2,2,1,22.00,11.00,0,0.00
11/10/21,Service Fees,11,0,0,2.08,0.18,0,0.00
11/10/21,Snacks,1,2,2,5.00,5.00,100,5.00
11/11/21,Cleaning&body,1,1,1,10.27,10.27,100,10.27
11/11/21,Condiments,1,3,3,4.50,4.50,100,4.50
11/11/21,Drinks,2,4,2,39.50,19.75,100,39.50
11/11/21,General Food,9,144,16,716.87,79.65,100,716.87
11/11/21,Meat/Fish,1,3,3,60.00,60.00,100,60.00
11/11/21,Service Fees,10,0,0,4.47,0.44,0,0.00
11/11/21,Snacks,2,2,1,10.00,5.00,100,10.00
11/12/21,Drinks,2,3,1.5,2.50,1.25,100,2.50
11/12/21,General Food,8,62,7.8,611.22,76.40,100,611.22
11/12/21,Meat/Fish,1,1,1,20.00,20.00,100,20.00
11/12/21,Service Fees,9,0,0,2.40,0.26,0,0.00
11/12/21,Snacks,2,3,1.5,1.25,0.62,100,1.25
11/13/21,Condiments,1,1,1,1.50,1.50,100,1.50
11/13/21,Drinks,2,4,2,6.00,3.00,100,6.00
11/13/21,General Food,10,78,7.8,559.56,55.95,100,559.56
11/13/21,Meat/Fish,3,6,2,70.00,23.33,100,70.00
11/13/21,Service Fees,10,0,0,5.60,0.56,0,0.00
11/13/21,Snacks,2,11,5.5,14.86,7.43,100,14.86
11/14/21,Drinks,1,1,1,1.75,1.75,100,1.75
11/14/21,General Food,7,19,2.7,152.00,21.71,100,152.00
11/14/21,Household,1,1,1,23.99,23.99,100,23.99
11/14/21,Service Fees,7,0,0,6.68,0.95,0,0.00
11/14/21,Snacks,2,2,1,1.19,0.59,100,1.19
11/15/21,Drinks,2,2,1,37.00,18.50,100,37.00
11/15/21,General Food,5,79,15.8,859.03,171.80,100,859.03
11/15/21,Meat/Fish,2,7,3.5,70.00,35.00,100,70.00
11/15/21,Service Fees,5,0,0,9.30,1.86,0,0.00
11/15/21,Snacks,4,13,3.3,9.27,2.31,100,9.27
11/16/21,General Food,3,23,7.7,181.56,60.52,100,181.56
11/16/21,Pinless Recharge,1,1,1,2.00,2.00,0,0.00
11/16/21,Service Fees,4,0,0,2.09,0.52,0,0.00
11/16/21,Snacks,1,2,2,0.50,0.50,100,0.50
11/17/21,Drinks,2,5,2.5,5.50,2.75,100,5.50
11/17/21,General Food,7,26,3.7,152.31,21.75,100,152.31
11/17/21,Meat/Fish,1,1,1,10.00,10.00,100,10.00
11/17/21,Service Fees,9,0,0,1.00,0.11,0,0.00
11/17/21,Snacks,3,6,2,9.27,3.09,100,9.27
11/18/21,Drinks,3,29,9.7,75.00,25.00,100,75.00
11/18/21,General Food,8,118,14.8,848.97,106.12,100,848.97
11/18/21,Meat/Fish,2,5,2.5,80.00,40.00,100,80.00
11/18/21,Service Fees,9,0,0,0.40,0.04,0,0.00
11/18/21,Snacks,1,2,2,1.59,1.59,100,1.59
11/19/21,Drinks,3,3,1,4.00,1.33,100,4.00
11/19/21,General Food,4,13,3.3,162.50,40.62,100,162.50
11/19/21,Pinless Recharge,1,1,1,3.00,3.00,0,0.00
11/19/21,Service Fees,5,0,0,0.00,0.00,0,0.00
11/19/21,Snacks,2,7,3.5,4.27,2.13,100,4.27
11/20/21,Drinks,2,3,1.5,1.50,0.75,100,1.50
11/20/21,General Food,8,37,4.6,245.15,30.64,100,245.15
11/20/21,Meat/Fish,1,1,1,20.00,20.00,100,20.00
11/20/21,Service Fees,8,0,0,6.83,0.85,0,0.00
11/20/21,Snacks,2,8,4,11.25,5.62,100,11.25
11/21/21,Drinks,1,1,1,2.00,2.00,100,2.00
11/21/21,General Food,7,62,8.9,718.38,102.62,100,718.38
11/21/21,Household,1,1,1,23.99,23.99,100,23.99
11/21/21,Meat/Fish,1,1,1,20.00,20.00,100,20.00
11/21/21,Service Fees,7,0,0,4.32,0.61,0,0.00
11/21/21,Snacks,1,2,2,2.00,2.00,100,2.00
11/22/21,Drinks,2,2,1,71.00,35.50,100,71.00
11/22/21,General Food,13,104,8,1027.78,79.06,100,1027.78
11/22/21,Meat/Fish,3,5,1.7,100.00,33.33,100,100.00
11/22/21,Service Fees,14,0,0,9.38,0.67,0,0.00
11/22/21,Snacks,2,7,3.5,6.99,3.49,100,6.99
11/23/21,Drinks,2,5,2.5,41.00,20.50,100,41.00
11/23/21,General Food,10,109,10.9,1078.38,107.83,100,1078.38
11/23/21,Meat/Fish,1,4,4,80.00,80.00,100,80.00
11/23/21,Service Fees,10,0,0,7.18,0.71,0,0.00
11/24/21,Cleaning&body,3,3,1,23.00,7.66,100,23.00
11/24/21,General Food,9,29,3.2,374.06,41.56,100,374.06
11/24/21,Meat/Fish,2,2,1,40.00,20.00,100,40.00
11/24/21,Pinless Recharge,1,1,1,25.00,25.00,0,0.00
11/24/21,Service Fees,14,0,0,11.06,0.79,0,0.00
11/24/21,Snacks,3,9,3,6.00,2.00,100,6.00
11/25/21,Cleaning&body,1,2,2,20.00,20.00,100,20.00
11/25/21,Drinks,1,1,1,1.50,1.50,100,1.50
11/25/21,General Food,14,37,2.6,541.73,38.69,100,541.73
11/25/21,Meat/Fish,2,3,1.5,60.00,30.00,100,60.00
11/25/21,Service Fees,14,0,0,3.80,0.27,0,0.00
11/25/21,Snacks,1,1,1,1.25,1.25,100,1.25
11/26/21,Drinks,2,3,1.5,4.00,2.00,100,4.00
11/26/21,General Food,8,108,13.5,726.09,90.76,100,726.09
11/26/21,Service Fees,8,0,0,8.58,1.07,0,0.00
11/27/21,Cleaning&body,1,1,1,8.00,8.00,100,8.00
11/27/21,Condiments,1,2,2,3.00,3.00,100,3.00
11/27/21,Drinks,2,6,3,74.50,37.25,100,74.50
11/27/21,General Food,11,123,11.2,770.00,70.00,100,770.00
11/27/21,Meat/Fish,8,19,2.4,320.00,40.00,100,320.00
11/27/21,Service Fees,11,0,0,0.60,0.05,0,0.00
11/27/21,Snacks,1,3,3,0.75,0.75,100,0.75
11/28/21,Drinks,1,4,4,6.00,6.00,100,6.00
11/28/21,General Food,3,8,2.7,148.09,49.36,100,148.09
11/28/21,Meat/Fish,1,2,2,30.00,30.00,100,30.00
11/28/21,Service Fees,4,0,0,0.08,0.02,0,0.00
11/28/21,Snacks,2,2,1,1.00,0.50,100,1.00
11/29/21,Drinks,2,3,1.5,6.50,3.25,100,6.50
11/29/21,General Food,6,130,21.7,686.42,114.40,100,686.42
11/29/21,Meat/Fish,3,8,2.7,130.00,43.33,100,130.00
